new unique backpack ! combines vintage with modern ! URL1283 via @USER415	ADJ NOUN NOUN PUNCT X NOUN ADP NOUN PUNCT X ADP X
RT @USER767 : It 's been 3 years since the release of the music video of Burning Desire . URL637	X X PUNCT PRON AUX AUX NUM NOUN ADP DET NOUN ADP DET NOUN NOUN ADP NOUN NOUN PUNCT X
#openfollow for kpopers just retweet	NOUN ADP NOUN ADV VERB
RT @USER526 : empathy 4 Kesha .... the worst . smh smh .. \ud83d\udc94	X X PUNCT NOUN NUM NOUN PUNCT DET ADJ PUNCT INTJ INTJ PUNCT SYM
RT @USER2128 : do n't jump to conclusions . do n't take what the media says at face value . do your own research & stay informed . stop falling \u2026	X X PUNCT AUX PART VERB PART NOUN PUNCT AUX PART VERB PRON DET NOUN VERB ADP NOUN NOUN PUNCT VERB PRON ADJ NOUN CCONJ VERB NOUN PUNCT VERB X PUNCT
RT @USER445 : Spine - Chilling Stories of Real Life Cannibals , Horrible ! URL1310 URL1455	X X PUNCT NOUN PUNCT NOUN NOUN ADP ADJ NOUN NOUN PUNCT NOUN PUNCT X X
I 've entered for a chance to win a copy of @USER1136 on XB1 from @USER1071 thanks to @USER718 ! Enter HERE : URL1617	PRON AUX VERB ADP DET NOUN PART VERB DET NOUN ADP NOUN ADP NOUN ADP PROPN NOUN ADP NOUN PUNCT VERB ADV PUNCT X
Our military is doing everything it can to equip Iraq 's forces so our troop ... #MikeRogers #quotation URL1226	PRON NOUN AUX VERB PRON PRON AUX PART PROPN NOUN PART NOUN ADV PRON NOUN PUNCT X X X
join our book club and learn about a lot of great books URL1049	VERB PRON NOUN NOUN CCONJ VERB ADP DET NOUN ADP ADJ NOUN X
RT @USER2270 : Keep in mind that some things will never make sense , no matter how hard you try to figure it out . Let go , breathe deeply & l \u2026	X X PUNCT NOUN ADP NOUN PRON DET NOUN AUX ADV VERB NOUN PUNCT DET NOUN ADV ADJ PRON VERB PART VERB PRON ADV PUNCT VERB VERB PUNCT X X CCONJ X PUNCT
RT @USER487 : Where is AKMU Where is MADE full album Where is EXIT : X Where is YGGG Saddest ? Where is Minzy ?	X X PUNCT ADV AUX NOUN ADV AUX VERB ADJ NOUN ADV AUX NOUN PUNCT X ADV AUX NOUN NOUN PUNCT ADV AUX NOUN PUNCT
RT @USER2437 : If you have short memory let me inform you after signing COD Benazir made infamous NRO deal with Mushi . \u263a URL224 \u2026	X X PUNCT SCONJ PRON VERB ADJ NOUN VERB PRON VERB PRON ADP VERB NOUN NOUN VERB NOUN NOUN NOUN ADP NOUN PUNCT SYM X PUNCT
RT @USER1218 : @USER265 Blessed Sunday \ud83d\ude0a	X X PUNCT X X NOUN SYM
Just because a nigga f*cks you , Does Not mean he loves you !!	ADV SCONJ DET NOUN NOUN PRON PUNCT AUX PART VERB PRON VERB PRON PUNCT
Get Weather Updates from theweatherchannel 10:56:06	VERB NOUN NOUN ADP NOUN X
\ @USER1771 : Denial has become such a comfort for some that the truth has become an illusion . \	PUNCT NOUN PUNCT NOUN AUX VERB DET DET NOUN ADP DET DET DET NOUN AUX VERB DET NOUN PUNCT PUNCT
\ You should know , that if you come any closer .. I wo n't let you go . \	PUNCT PRON AUX VERB PUNCT PRON SCONJ PRON VERB DET NOUN PUNCT PRON AUX PART VERB PRON VERB PUNCT PUNCT
#NowPlaying Get Another Boyfriend of @USER1659	X VERB DET NOUN ADP NOUN
#baseball Bengie Molina considers retirement after World Series URL87	NOUN NOUN NOUN NOUN NOUN ADP PROPN PROPN NOUN
#championLife RT @USER2393 : Lakers game wo n't start until they get those rings right ? See you at 10:45	NOUN X X PUNCT PROPN NOUN AUX PART VERB SCONJ PRON VERB PRON NOUN ADV PUNCT VERB PRON ADP X
#howcome condoms smell so bad !!!!!!	PROPN NOUN VERB ADV ADJ PUNCT
#nothappy that Adelaide has lost the #rugbysevens	NOUN PRON NOUN AUX VERB DET NOUN
. @USER1012 & I are talking about optics entrepreneurship & \ the Actuality story \ tonight Media Lab E14 - 525 6 p - 8 p for URL51	PUNCT NOUN CCONJ PRON AUX VERB ADP NOUN NOUN CCONJ PUNCT DET NOUN NOUN PUNCT NOUN NOUN NOUN NOUN PUNCT NOUN NUM NOUN PUNCT NUM NOUN ADP NOUN
1 , 2 , 3 , 4 , 5 Teen Titans !	NUM PUNCT NUM PUNCT NUM PUNCT NUM PUNCT NUM NOUN NOUN PUNCT
; idk why ... but ifeel like talkin dirty O_o	PUNCT INTJ ADV PUNCT CCONJ NOUN ADP NOUN ADJ X
@ troy smith is about to finish the rest of the season for the 49ers ... he 's gon na get them a win this week	ADP PROPN PROPN AUX ADP PART VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT PRON AUX VERB PART VERB PRON DET VERB DET NOUN
@USER90 NBC is going to have the NYC fireworks on . They are amazing - at least in person they were two years ago .	PROPN NOUN AUX VERB PART VERB DET NOUN NOUN ADP PUNCT PRON AUX ADJ PUNCT ADP ADV ADP NOUN PRON AUX NUM NOUN ADV PUNCT
@USER153 I 'm scoopin Jo right now	PROPN PRON AUX VERB PROPN ADV ADV
@USER272 I 'm from england . Where 's missiuri ?	PROPN PRON AUX ADP NOUN PUNCT ADV PART NOUN PUNCT
@USER288 i did tooo ! this is getting goood . lol	PROPN PRON AUX NOUN PUNCT PRON AUX VERB NOUN PUNCT INTJ
@USER312 well I 'm fuckn amazin .. lol ... tottaly awsome who 's bad now lol	PROPN CCONJ PRON AUX ADJ NOUN PUNCT INTJ PUNCT X X PRON AUX ADJ ADV INTJ
@USER349 I already have sis !!! Girl they hate me !	PROPN PRON ADV VERB NOUN PUNCT NOUN PRON VERB PRON PUNCT
@USER355 yea I was wondering if after they banned the indian we got a new one	PROPN INTJ PRON AUX VERB SCONJ SCONJ PRON VERB DET NOUN PRON VERB DET ADJ NUM
@USER357 :D	NOUN SYM
@USER367 lmbo	NOUN NOUN
@USER403 the one you said you was gon na make . the one i bought everything for and have been waiting for ?	VERB DET NOUN PRON VERB PRON AUX VERB PART VERB PUNCT DET NOUN PRON VERB PRON ADP CCONJ AUX AUX VERB ADP PUNCT
@USER446 how ??!	NOUN ADV NOUN
@USER447 miss yhuuuu !	NOUN VERB NOUN PUNCT
@USER547 that is the most stunning creature I have ever seen	VERB PRON AUX DET ADJ NOUN NOUN PRON VERB ADV VERB
@USER600 Yeah I m goodie just in the lab working ... Wow ! I need to be where you at ! lol let me visit	PROPN INTJ PRON AUX NOUN ADV ADP DET NOUN VERB PUNCT INTJ PUNCT PRON VERB PART AUX ADV PRON ADP PUNCT INTJ VERB PRON X
@USER678 that 's a tight score .	VERB PRON AUX DET NOUN NOUN PUNCT
@USER688 I hear enough talking , just turn round keep walking haha in that part	PROPN PRON VERB ADV VERB PUNCT ADV VERB NOUN VERB VERB INTJ ADP DET NOUN
@USER771 that 's ladybug	VERB PRON AUX NOUN
@USER842 hi , how are you good ? URL142	PROPN INTJ PUNCT ADV AUX PRON ADJ PUNCT X
@USER915 oh nasty perv lol	PROPN INTJ ADJ NOUN INTJ
@USER935 aight leaving my crib in 20 minutes	NOUN NOUN ADP PRON NOUN ADP NUM NOUN
@USER1007 has no sense !!! LOL	NOUN AUX DET NOUN PUNCT INTJ
@USER1022 I had potted shrimp last night . Except someone else ordered it & I could n't work out why we had creme brulee for a starter ...	PROPN PRON VERB NOUN NOUN ADJ NOUN PUNCT X PRON ADV VERB PRON CCONJ PRON AUX PART VERB ADV ADV PRON VERB NOUN NOUN ADP DET NOUN PUNCT
@USER1031 lol you 're lame ;)	PROPN INTJ PRON AUX ADJ SYM
@USER1039 benadryl is your friend lol	PROPN NOUN AUX PRON NOUN INTJ
@USER1074 @USER2632 @USER1318 @USER1108 can i have your email so i can invite you to a sample sale	PROPN PROPN PROPN NOUN AUX PRON VERB PRON NOUN ADV PRON AUX VERB PRON ADP DET NOUN NOUN
